cod,texto
i1,investigación exposición lectura casa diversos textos interés alumno
i2,cuadernillo presilábico libro multiples lenguajes trazos libros proyectos fotocopias actividades alusivas proyecto visto
i3,lectura comentada lectura guiada lectura robada
i4,lectura diferentes textos casa escuela
i5,asistencia por semana padres familia lean texto niños aplicación diversas actividades ayuden practicar comprensión lectora
i6,llevo proyectos trabaja actividades lectorescritura
i7,alumnos alumnas leyendo escribiendo aprendan cuestionar leen revisen escriben
i8,ubicar escenarios proyectos desarrollados vividamente
i9,imágenes
i10,lecturas diarias cuadernillos actividades videos
