cod,texto
i1,si
i2,si
i3,Nonovedosos propuesto docentes implementamos
i4,estrategias métodos enseñanza dependen docentes
i5,trabajando lectoescritura modificado nuevo campo formativo actividades extras
i6,grado mayor dificultad docente indagar particularmente uso estratégico proyectos incorporación PDA forma seccionada
i7,nologran alcanzar diferentes circunstancias
