cod,texto
i1,falta práctica contextos
i2,alumnos primer grado proceso
i3,pocamotivación leer estrategias didácticas monótonas aburridas textos  nointerés
i4,preescolar distancia alumnos maduración rezago el método lectoescritura alumnos noacompañamiento
i5,nogusto lectoescritura nopractican casa tiempos libres
i6,falta apoyo papá mamá valores reglas
i7,falta hábito nogusta leer 
i8,falta compromiso apoyo padres
i9,distracciones
i10,trabajo colaborativo padres con maestro
